Name,Kinships,Affiliation,Knowledgebase,Openness,Scope,Sides,InteriorParticleCount,ParticlesPerEdge,BorderParticleCount,TotalParticleCount,Color
Neo-spiritualism,"Ecumenical Nature Spirituality, Indigenous Spirituality, Mystical Naturalism, Engaged Buddhism",,4,5,global,4,78,7,28,106,#00D18E
Data Science,"Software Developers, Open Source Maintainers, Research Software Engineers, Coding Community",,5,6,global,4,122,6,24,146,#E22B60
Gamers,"Live Streamers, Science Fiction Fandom, Cosplayers",,6,5,global,3,78,7,21,99,#FF901F
Board Games,"Ttrpg Communities, Fantasy Miniature Painting, Model Railroading, Mosaic Miniatures Guild",,5,6,global,4,100,6,24,124,#C70070
Digital Nomads,"Maker Culture, Solidarity Economy, Sustainable Living, Minimalist Living, Open Source Software, Cooperative Housing",,5,6,global,6,51,6,36,87,#FF39C1
Street Art,"Zine Culture, Photography Culture, Visual Storytellers, Contemporary Artisan Movement, Social Justice Activists",,5,5,global,5,121,7,35,156,#2C7DFF
Craft Beer,"Contemporary Artisan Movement, Artisanal Craft Movement, Solidarity Economy, Slow Craft",,5,6,local,4,113,6,24,137,#99B2FF
Cosplay,"Comic Creators, Sff Fans, Anime Fandom, Ttrpg Communities, Live Streamers, Science Fiction Fandom, Gamers, Digital Content Creators",,5,6,global,8,154,7,56,210,#7538F0
Environmental Activism,"Sustainable Living, Urban Planners, Data Scientists, Urban Gardening Community, Social Justice Activists",,6,5,global,5,87,7,35,122,#009AFF
Book Lovers Society,"Digital Archivists, Academic Research Community, Zine Culture, Digital Content Creators",,4,5,local,4,30,7,28,58,#FC003D
Minimalism,"Buddhism, Minimalist Living, Professional Organizers",,5,6,global,3,32,6,18,50,#4CBCFF
Academic Research Community,"Data Scientists, Research Software Engineers, Data Visualization Professionals, Open Source Maintainers, Science Communicators, Academic Librarians, Computational Humanities Consortium, K-12 Educators",,5,6,global,8,260,8,64,324,#BE0087
Professional Organizers,"Sustainable Living, Mindful Living, Minimalism, Minimalist Living, Urban Homesteaders",,5,6,national,5,102,6,30,132,#009FFF
Contemporary Artisan Movement,"Global Experimental Arts, Slow Craft, Maker Culture, Fantasy Miniature Painting",,5,5,national,4,92,7,28,120,#C118E7
Urban Gardening Community,"Culinary Culture, Plant-based Living, Green Movement, Cooperative Housing, Urban Planners, Environmental Activism, Sustainable Living",,5,6,local,7,102,6,42,144,#CC99FF
Surrealism,"Global Experimental Arts, Street Art, Visual Storytellers",,5,4,global,3,32,7,21,53,#B44A00
