"Culture Name

List what do people call your culture? Include nicknames, acronyms, or symbols if they exist.","Values & Traits

List what does your culture care about? What does the community value?

","Material Culture

List materials, objects, foods, images, sounds etc., that are associated with your culture.  

If not applicable, skip it.","Kinships

List which other cultures does yours connect with, borrow from, or resemble?

If not applicable, skip it.","Cultural Knowledgebase
How fixed or dynamic is your culture’s core body of knowledge? On one end are cultures with established, unchangeable texts or practices (e.g., sacred religious texts). On the other end are cultures where knowledge is open, fluid, and constantly being rewritten.",Membership Openness  ,"Language Acquisition

How difficult is it for someone new to learn and use the language of your culture? Please rate on a scale from very hard to very easy. ","Scope of Your Culture

How would you describe the scope of this culture?
(e.g., national culture, local community, hobby group, family practice, etc.)

Does it exists in more then one scope? ","Cultural Practices

How do people belong in this culture? Are there any key symbols and shared stories? What makes them feel like a part of the bigger picture?","Your Own Words
Some things about a culture can't be captured by premade categories. What did we miss? This is your space to tell us more.
What makes your culture unique?
What does your culture share in common that is meaningful to you?
What are you all about?
Your words help bring your culture to life within Belonging.
(Recommended minimum length 100 words so others can truly understand your culture.)"
ADHD,"Creativity, storytelling, acceptance, and community engagement.","Manga, figurines, cosplay costumes, and fan art.","Gaming communities, comic book fans, and pop culture enthusiasts.",6,4,5,"Local and global culture with fan clubs, conventions, and online forums.","Belonging is experienced through cosplay, conventions, and fan art. Key symbols include anime-related catchphrases and character motifs.","Anime culture is a beautiful tapestry woven from diverse influences that span art, narrative, and community. We cherish the ability to express our individuality through cosplay and fan art while celebrating the stories that speak to us. The connection to characters and series often provides comfort and inspiration, serving as a refuge from the complexities of life. Our gatherings—like conventions—are filled with laughter, creativity, and the shared love of storytelling, where friendships blossom. We are united by a drive to create and share, whether through discussing plot twists, creating fan fiction, or collaborating on art projects, bridging gaps between individuals from all walks of life."
Anime fans,"Freedom, independence, craftsmanship, heritage, preservation, tradition, resilience, environmentalism","Pottery, quilts, woodworking, barbecue, biscuits, collard greens, pinto beans, dogwood flowers, rhododendron, mountain laurel, mountains, cardinals, log cabins, banjos, bluegrass music, hollering, southern drawl, ginseng, kudzu, waterfalls, livermush, Cheerwine, clogging, contra dance, square dance","Scottish, Asian (pottery), African, African American, east Tennessean, eastern North Carolinian, Irish, English",6,6,2,"It exists in more than one scope. My culture generally applies to all of southern Appalachia, but has some aspects specifically found in western North Carolina such as pottery and foods","People belong to this culture not just by virtue of living in the region, but by participating in its practices, interacting with its “members,” and sharing its values","Though typically grouped together as one, Appalachian culture is highly heterogeneous, with subcultures forming based largely on geography and local biodiversity"
anime lover,"Curiosity, scientific exploration, creativity, collaboration.","Cameras, telescopes, star maps, edited photos.","Astronomy enthusiasts, science communities, nature photographers.",6,5,3,Global community with local meetups and star-gazing events.,"Sharing photos, tips on equipment, and participating in local events fosters belonging.","The astrophotography community is a passionate group of stargazers and creators, united by our love for capturing the beauty of the cosmos. We spend countless nights under the stars, experimenting with techniques, sharing tips, and learning from one another. Each photograph we take tells a story—of the distant galaxies, the intricate structures of nebulae, and the dance of celestial bodies. Our culture thrives on curiosity and exploration, urging us to push the boundaries of what’s possible with our cameras and telescopes. We celebrate each other's successes and support one another through challenges, knowing that every shot contributes to our collective understanding of the universe. Together, we create a vibrant culture that values science, art, and the wonder of discovery, reminding us of our small place in the vastness of space."
"Appalachian, southern, Western North Carolinian, country, hick, hillbilly, country","Creativity, sharing, community, skill development.","Baking tools, cookbooks, baked goods, kitchen decorations.","Culinary enthusiasts, food bloggers, family traditions.",5,6,3,Local clubs with online communities sharing recipes and tips.,"Shared baking sessions, recipe exchanges, and community challenges foster belonging.","The baking culture is a delightful blend of creativity, community, and love. For us, baking is more than just making treats; it’s a way of expressing ourselves and sharing joy with others. We gather to share recipes, swap tips, and celebrate each other’s successes, all while learning and growing in our skills. Each bake is an adventure, exploring flavors, techniques, and cultural traditions that enrich our experiences. Our community thrives on inclusivity, encouraging bakers of all levels to participate and share their creations. Whether it’s a simple loaf of bread or a complex pastry, we believe that every effort deserves acknowledgment and celebration. Together, we cultivate a culture that values passion, support, and the sweet moments shared over a freshly baked good."
"argentino, latino, sudaca, porteño, hispano","Autonomy, cultural identity, language preservation, and solidarity.","Txakoli wine, pintxos, traditional dress, Basque pelota, and rich folklore.","Catalan, Scottish, and Irish nationalist movements.",5,4,6,"Local community in Basque Country, but also a transnational identity.",Participation in festivals like Aste Nagusia fosters belonging. The ikurriña flag is a powerful symbol of our identity.,"The Basque culture is vibrant and distinct, with a strong sense of identity rooted in our language, Euskara, and traditions. Our history of striving for autonomy defines us; we are passionate about preserving our unique customs amidst global influences. Food plays a central role in our culture, with pintxos being more than just snacks, but expressions of culinary art. We celebrate our heritage through music, dance, and sports, like Basque pelota. The ikurriña, our flag, symbolizes our fight for recognition and respect. We are proud of our culture's resilience and strive to pass on our values and customs to future generations, ensuring our story continues."
Astrophotography Community,"Creativity, design innovation, storytelling, collaboration.","Game prototypes, playtest materials, design sketches, artwork.","Tabletop gamers, indie artists, designers.",7,5,2,Local community with a growing online presence among creators.,"Belonging is nurtured through workshops, sharing prototypes, and collaborative design sessions. Symbols include playtest cards and design notes.","The board game creators’ culture is an inspiring space where ideas come to life through play and creativity. We are a diverse group who believe in the power of games to tell stories and bring people together. Each prototype we design is a labor of love, and we gather to share, critique, and improve our creations. Through festivals and local meetups, we exchange knowledge and experiences, helping each other grow as designers and storytellers. Every game we create reflects our values, whether it's promoting inclusivity, sustainability, or simply the joy of fun. This culture thrives on collaboration and innovation, making it a unique community that captures the essence of imagination and connection."
Baking Enthusiasts,"Strategy, collaboration, creativity, and inclusivity.","Board games, dice, miniatures, and snacks for game nights.","Tabletop RPG players, card game fans, and puzzle enthusiasts.",5,4,3,"Local clubs, online forums, and global conventions.","Belonging comes from participation in game nights, conventions, and community-building events. Symbols include game mechanics and art styles.","Board gaming culture is a joyous expression of strategy, creativity, and community. We gather around tables, immersed in stories where our imaginations come to life. Each game is a journey, offering a chance to collaborate, compete, and laugh with friends. Our events—whether in a cozy living room or a bustling convention—are filled with an infectious energy that strengthens bonds and creates lasting memories. We value inclusivity, welcoming newcomers regardless of experience. Unique game mechanics, art styles, and shared experiences create a culture where everyone can find their place and contribute. Board gaming is not just about winning; it's about shared adventures and the friendships forged along the way."
Basque Nationalist,"Joy, celebration, community, diversity, resilience.","Samba music, football, feijoada, Carnival, colorful clothing, coffee.","African, Portuguese, Indigenous cultures.",3,3,4,National with strong regional variations.,"Belonging is celebrated through music, dance, and festivals like Carnival. Key symbols include the flag and the Amazon rainforest.","Brazilian culture is a joyful tapestry of diversity and resilience, woven from the threads of our rich history and varied influences. We celebrate life with passion, whether it's through music, dance, or vibrant festivals that bring communities together. Our love for football is more than just a sport; it's a shared experience that unites us. Food is a vital part of our culture, with each region boasting its own flavors and dishes that tell the story of our people. We embrace our differences while finding common ground, creating a culture that is as colorful and dynamic as the landscapes of our beloved country."
Board Game Creators,"Cultural preservation, spirituality, nature, community connections, respect for ancestors.","Traditional garments, food offerings, sacred sites, Celtic art, folk music.","Paganism, other indigenous spiritual practices, folklore traditions.",5,3,3,"Local and global, focusing on revitalizing ancient practices.","Belonging arises from participation in rituals, storytelling, and community gatherings. Symbols include the triskele and Celtic knots.","Celtic Reconstructionism is a cultural and spiritual practice focused on the revival and preservation of ancient Celtic traditions. We believe in the importance of connecting with our ancestors and the land, honoring the cycles of nature, and fostering a strong sense of community. Through rituals, storytelling, and celebrations of seasonal festivals, we come together to reinforce our shared values and beliefs. Our practices are deeply rooted in respect for history, with an emphasis on authenticity and reverence for the natural world. Each member contributes to the culture by sharing their knowledge and experiences, creating a vibrant tapestry of connection that transcends time and space. This culture inspires a sense of belonging that nurtures personal growth and collective wisdom, making it a truly unique community."
Board game enthusiasts,"Respect for nature, community solidarity, ancestral traditions, and social justice.","Traditional clothing, handwoven textiles, Mapudungun language, herbal medicine, and music from traditional instruments.",Other Indigenous cultures in South America such as Aymara and Quechua.,7,3,5,"Primarily local community, but also recognized nationally and internationally.","Belonging is reinforced through community gatherings, traditional festivals, and storytelling. Symbols like the Wenufoye reflect their identity.","The Mapuche culture is rooted in a profound connection to the land and a history of resistance against colonization. We view our territory as vital, not just for survival, but as a sacred space. Our rituals, such as the Nguillatún, celebrate our relationship with nature and honor our ancestors. We share cultural knowledge through oral traditions, and our young people learn about Mapudungun and traditional crafts. Despite the challenges we face, our spirit remains resilient, as does our commitment to social justice. We are more than our struggles; we are a vibrant community that celebrates life, heritage, and the beautiful landscapes of our homeland."
